Price,VIX,S&P500,Gold,Oil
Ticker,^VIX,^GSPC,GC=F,CL=F
Date,,,,
2015-01-02,17.790000915527344,2058.199951171875,1186.0,52.689998626708984
2015-01-05,19.920000076293945,2020.5799560546875,1203.9000244140625,50.040000915527344
2015-01-06,21.1200008392334,2002.6099853515625,1219.300048828125,47.93000030517578
2015-01-07,19.309999465942383,2025.9000244140625,1210.5999755859375,48.650001525878906
2015-01-08,17.010000228881836,2062.139892578125,1208.4000244140625,48.790000915527344
2015-01-09,17.549999237060547,2044.81005859375,1216.0,48.36000061035156
2015-01-12,19.600000381469727,2028.260009765625,1232.699951171875,46.06999969482422
2015-01-13,20.559999465942383,2023.030029296875,1234.300048828125,45.88999938964844
2015-01-14,21.479999542236328,2011.27001953125,1234.4000244140625,48.47999954223633
2015-01-15,22.389999389648438,1992.6700439453125,1264.699951171875,46.25
2015-01-16,20.950000762939453,2019.4200439453125,1276.9000244140625,48.689998626708984
2015-01-20,19.889999389648438,2022.550048828125,1294.199951171875,46.38999938964844
2015-01-21,18.850000381469727,2032.1199951171875,1293.699951171875,47.779998779296875
2015-01-22,16.399999618530273,2063.14990234375,1300.699951171875,46.310001373291016
2015-01-23,16.65999984741211,2051.820068359375,1292.5999755859375,45.59000015258789
2015-01-26,15.520000457763672,2057.090087890625,1279.4000244140625,45.150001525878906
2015-01-27,17.219999313354492,2029.550048828125,1291.699951171875,46.22999954223633
2015-01-28,20.440000534057617,2002.1600341796875,1285.9000244140625,44.45000076293945
2015-01-29,18.760000228881836,2021.25,1254.5999755859375,44.529998779296875
2015-01-30,20.969999313354492,1994.989990234375,1278.5,48.2400016784668
2015-02-02,19.43000030517578,2020.8499755859375,1276.199951171875,49.56999969482422
2015-02-03,17.329999923706055,2050.030029296875,1259.699951171875,53.04999923706055
2015-02-04,18.329999923706055,2041.510009765625,1263.800048828125,48.45000076293945
2015-02-05,16.850000381469727,2062.52001953125,1262.0,50.47999954223633
2015-02-06,17.290000915527344,2055.469970703125,1233.9000244140625,51.689998626708984
2015-02-09,18.549999237060547,2046.739990234375,1240.800048828125,52.86000061035156
2015-02-10,17.229999542236328,2068.590087890625,1231.5999755859375,50.02000045776367
2015-02-11,16.959999084472656,2068.530029296875,1219.0,48.84000015258789
2015-02-12,15.34000015258789,2088.47998046875,1220.0999755859375,51.209999084472656
2015-02-13,14.6899995803833,2096.989990234375,1226.5,52.779998779296875
2015-02-17,15.800000190734863,2100.340087890625,1208.0999755859375,53.529998779296875
2015-02-18,15.449999809265137,2099.679931640625,1199.699951171875,52.13999938964844
2015-02-19,15.289999961853027,2097.449951171875,1207.0999755859375,51.15999984741211
2015-02-20,14.300000190734863,2110.300048828125,1204.4000244140625,50.34000015258789
2015-02-23,14.5600004196167,2109.659912109375,1200.300048828125,49.45000076293945
2015-02-24,13.6899995803833,2115.47998046875,1196.9000244140625,49.279998779296875
2015-02-25,13.84000015258789,2113.860107421875,1201.0,50.9900016784668
2015-02-26,13.90999984741211,2110.739990234375,1209.5999755859375,48.16999816894531
2015-02-27,13.34000015258789,2104.5,1212.5999755859375,49.7599983215332
2015-03-02,13.039999961853027,2117.389892578125,1207.699951171875,49.59000015258789
2015-03-03,13.859999656677246,2107.780029296875,1204.0,50.52000045776367
2015-03-04,14.229999542236328,2098.530029296875,1200.5999755859375,51.529998779296875
2015-03-05,14.039999961853027,2101.0400390625,1195.9000244140625,50.7599983215332
2015-03-06,15.199999809265137,2071.260009765625,1164.0999755859375,49.61000061035156
2015-03-09,15.0600004196167,2079.429931640625,1166.4000244140625,50.0
2015-03-10,16.690000534057617,2044.1600341796875,1160.0999755859375,48.290000915527344
